Date,Description,Amount ($)
04/19,BB&T ONLINE BILL PAYMENT ONLINE PMT CREDIT CARD CKF768752662POS,100.00
04/19,BB&T ONLINE BILL PAYMENT ONLINE PMT FIRST PROGRESS CKF768752662POS,100.00
04/19,BB&T ONLINE BILL PAYMENT ONLINE PMT MERRICK BANK CKF768752662POS,100.00
04/19,BB&T ONLINE BILL PAYMENT ONLINE PMT CREDIT ONE BANK CKF768752662POS,200.00
04/19,DEBIT CARD PURCHASE-PIN 05-18-20 WASHINGTON DC 6901 SAFEWAY 2808,27.21
04/19,CC PMT LEADBANKSELFLEND 6438 RICARDO BROUGHTON,62.62
04/20,INTERNET PAYMENT PAYMENT FSB BLAZE 518213010852770,75.00
04/21,DEBIT CARD PURCHASE SHELL OIL 10000581 05-19 WASHINGTON DC 6901,1.99
04/21,INTERNET PAYMENT PAYMENT FIRST SAVINGS 543360180270219,100.00
04/22,DEBIT CARD PURCHASE SHELL OIL 57525762 05-20 BALTIMORE MD 6901,28.00
04/22,DEBIT CARD PURCHASE PREMIER Bankcard 05-21 605-3573440 SD 6901,335.00
04/22,DEBIT CARD PURCHASE-PIN 05-22-20 BALTIMORE MD 6901 ROYAL FARMS 138,16.60
04/26,DEBIT CARD PURCHASE-PIN 05-22-20 BALTIMORE MD 6901 RUSSELL STREET C,20.00
04/26,DEBIT CARD PURCHASE-PIN 05-25-20 CLINTON MD 6901 CVS/PHARMACY #01 01491--8,26.67
04/26,PAYMENT LEGACY VISA PYMT 5169 BROUGHTON.RICARDO D,56.50
04/26,DEBIT CARD PURCHASE-PIN 05-28-20 BALTIMORE MD 6901 RUSSELL STREET C,24.50
05/01,DEBIT CARD PURCHASE Q & Q CLEANERS 05-29 WASHINGTON DC 6901,47.55
05/01,DEBIT CARD PURCHASE-PIN 05-29-20 WASHINGTON DC 6901 SAFEWAY 2808,27.34
05/01,DEBIT CARD RECURRING PYMT METROPCS AUTO PAY 05-30 888-863-8768 WA 6901,60.00
05/01,DEBIT CARD PURCHASE-PIN 05-30-20 WASHINGTON DC 6901 1601 NEW YORK AVE,11.99
05/01,DEBIT CARD PURCHASE FORESTVILLE EXXON 05-30 FORESTVILLE MD 6901,10.00
05/01,DEBIT CARD PURCHASE COLDSTONE CREAMERY 05-30 WALDORF MD 6901,28.93
05/01,DEBIT CARD PURCHASE-PIN 05-30-20 WALDORF MD 6901 SAFEWAY 0105,15.00
05/01,DEBIT CARD PURCHASE-PIN 05-30-20 FORESTVILLE MD 6901 SHOPPERS FOOD/PHARM 2669,69.43
05/01,DEBIT CARD PURCHASE RENTSPREE LLC 05-31 323-515-7757 CA 6901,30.00
05/01,DEBIT CARD PURCHASE SHOPPERS FOOD / PH 05-31 FORESTVILLE MD 6901,8.99
05/01,DEBIT CARD PURCHASE-PIN 05-01-20 FORESTVILLE MD 6901 7-ELEVEN,4.23
05/01,CC PMT LEADBANKSELFLEND 5387 RICARDO BROUGHTON,64.87
05/01,INTERNET PAYMENT PAYMENT FSB BLAZE 51 821 301 0852770,102.78
05/02,BB&T ONLINE BILL PAYMENT ONLINE PMT MERRICK BANK CKF768752662POS,92.83
05/02,BB&T ONLINE BILL PAYMENT ONLINE PMT CREDIT ONE BANK CKF768752662POS,150.00
05/02,BB&T ONLINE BILL PAYMENT ONLINE PMT FIRST PROGRESS CKF768752662POS,150.00
05/02,DEBIT CARD PURCHASE-PIN 05-01-20 WASHINGTON DC 6901 SAFEWAY 2808,24.31
05/02,BB&T 24 CASH WITHDRAWAL 05-02-20 6901 DC-KENYON SQUARE WASHINGTON DC,160.00
05/02,TELEPHONE PAYMENT PAYBYPHONE CREDITCARD PYMNT 1361403418,138.72
05/03,DEBIT CARD PURCHASE-PIN 05-02-20 BALTIMORE MD 6901 ROYAL FARMS 138,32.60
05/03,PAYMENTS LEADBANKSELFLEND 1496 RICARDO BROUGHTON,25.00
05/03,INTERNET PAYMENT ePay Fortiva MC PMT FORTIVA MC PMT,98.09
05/03,INTERNET PAYMENT Payment Credit One Bank 42144109,109.00
05/04,DEBIT CARD PURCHASE PRICE BUSTERS FURN 05-02 BROOKLYN PARK MD 6901,200.00
05/04,DEBIT CARD PURCHASE AMZN Mktp US'MY9MU 05-03 Amzn.corn/bill WA 6901,57.18
05/04,BB&T ONLINE BILL PAYMENT ONLINE PMT FIRST PROGRESS CKF768752662POS,104.94
05/04,DEBIT CARD PURCHASE DOUBLE GOOD POPCOR 05-03 630-568-5544 IL 6901,51.45
05/04,DEBIT CARD PURCHASE-PIN 05-03-20 BALTIMORE MD 6901 ROYAL FARMS 138,12.60
05/04,DEBIT CARD PURCHASE-PIN 05-03-20 WASHINGTON DC 6901 SAFEWAY 2808,32.87
05/05,DEBIT CARD PURCHASE-PIN 05-04-20 BALTIMORE MD 6901 RUSSELL STREET C,25.00
05/05,DEBIT CARD PURCHASE-PIN 05-04-20 WASHINGTON DC 6901 SAFEWAY 2808,3.00
05/05,DEBIT CARD PURCHASE-PIN 05-04-20 WASHINGTON DC 6901 SAFEWAY 2808,4.22
05/05,RECURRING INTERNET PAYMENT DIRECTPAY CAPITAL ONE AUTO 005205270989798,403.88
05/08,DEBIT CARD PURCHASE Etsy.com 05-05 718-8557955 NY 6901,46.40
05/08,DEBIT CARD PURCHASE DASH IN #1501 - HA 05-05 BALTIMORE MD 6901,8.00
05/08,DEBIT CARD PURCHASE-PIN 05-05-20 BALTIMORE MD 6901 ROYAL FARMS 138,12.60
05/08,DEBIT CARD PURCHASE-PIN 05-05-20 CLINTON MD 6901 WAL-MART #2799,78.33
05/08,DEBIT CARD PURCHASE RENTLY.COM 05-05 888-340-6340 CA 6901,0.99
05/08,DEBIT CARD PURCHASE WENDYS #6535 05-05 WASHINGTON DC 6901,17.13
05/08,DEBIT CARD PURCHASE ROYAL FARMS #287 05-05 DISTRICT HEIG MD 6901,20.00
05/08,DEBIT CARD PURCHASE FAMILY DOLLAR #413 05-05 TEMPLE HILLS MD 6901,5.30
05/08,DEBIT CARD PURCHASE GOLDEN SKILLET 05-05 FORESTVILLE ME 6901,11.33
05/08,DEBIT CARD PURCHASE SAVE-A-LOT #533 05-05 FORESTVILLE MD 6901,24.63
05/08,DEBIT CARD PURCHASE NY CHICKEN AND GRI 05-07 DISTRICT HEIG MD 6901,22.77
05/08,DEBIT CARD PURCHASE-PIN 05-07-20 DISTRICT HEIG MD 6901 ROYAL FARMS #287,4.01
05/08,DEBIT CARD PURCHASE-PIN 05-07-20 DISTRICT HEIG MD 6901 ROYAL FARMS #287,10
05/08,DEBIT CARD PURCHASE PAYPAL*LATAPA2019 05-07 402-935-7733 CA 6901,36.78
05/08,INTERNET PAYMENT PAYMENT FIRST SAVINGS 543360180270219,0.90
05/09,INTERNET PAYMENT June Subsc Current kZJFJ6uPk56ybWC,4.99
05/10,DEBIT CARD PURCHASE-PIN 05-09-20 BALTIMORE MD 6901 ROYAL FARMS 138,20.69
05/10,DEBIT CARD PURCHASE-PIN 05-09-20 WASHINGTON DC 6901 SAFEWAY 2808,6.99
05/11,DEBIT CARD PURCHASE-PIN 05-10-20 WASHINGTON DC 6901 SAFEWAY 2808,5.78
05/12,DEBIT CARD PURCHASE-PIN 05-12-20 BALTIMORE MD 6901 SHELL SERVICE STATION,32.37
05/12,8662580165 VBS BetterDay 43in Ricardo Broughton,203.05
05/12,8662580165 VBS BetterDay 44pd Ricardo Broughton,"1,149.69"
05/15,DEBIT CARD PURCHASE SHELL OIL 57525762 05-11 BALTIMORE MD 6901,7.79
05/15,DEBIT CARD PURCHASE SUBWAY 0448 05-11 WASHINGTON DC 6901,7.30
05/15,DEBIT CARD PURCHASE-PIN 05-12-20 BALTIMORE MD 6901 SHELL SERVICE STATION,16.47
05/15,DEBIT CARD PURCHASE-PIN 05-12-20 BALTIMORE MD 6901 7-ELEVEN,7.22
05/15,DEBIT CARD PURCHASE OCEAN BEAUTY 05-12 TEMPLE HILLS MD 6901,6.35
05/15,DEBIT CARD PURCHASE SUBWAY 0448 05-12 WASHINGTON DC 6901,10.60
05/15,DEBIT CARD PURCHASE Q & Q CLEANERS 05-13 WASHINGTON DC 6901,13.98
05/15,DEBIT CARD PURCHASE-PIN 05-13-20 WASHINGTON DC 6901 SAFEWAY 2808,21.83
05/15,DEBIT CARD PURCHASE-PIN 05-13-20 DISTRICT HEIG MD 6901 ROYAL FARMS #287,10.00
05/15,DEBIT CARD PURCHASE CHECKERS #5936 05-13 CAMP SPRINGS MD 6901,19.48
05/15,DEBIT CARD PURCHASE-PIN 05-13-20 SUITLAND MD 6901 AUTOZONE 6539 4803 ALLEN,19.05
05/15,DEBIT CARD PURCHASE-PIN 05-14-20 DISTRICT HEIG MD 6901 ROYAL FARMS #269,22.36
05/16,DEBIT CARD PURCHASE METRO PCS 5600 05-14 201-538-1876 MD 6901,114.30
05/16,DEBIT CARD PURCHASE AMZN Mktp US'MS6JM 05-15 Amzn.com/bill WA 6901,9.53
